planetID,starID,L_st,R_st,T_eff_st,d,contrast,a,S,S_abs,a_eff,R_eff,has_H2O,age,EEC,has_O2
112,68,0.733085,0.93149014,5538.6232,16.733,4.594553370718939e-10,3.110745825222975,0.07575743805512361,18.03027025711942,3.6331837268873253,5.153227980991866,,2.376435630104174,0.0,
114,69,3.00617,1.2860557,6707.7345,20.881,3.892623003763903e-10,4.759985983989312,0.13267899970227126,31.57760192914056,2.7453574966444148,7.258051163193425,,2.981785964734552,0.0,
115,70,3.04825,1.29014829,6720.4011,19.534,6.795469726301879e-11,1.769246102911901,0.9738096797225182,231.76670377395934,1.0133581307284256,1.12717453231253,1.0,1.0285126511613012,1.0,0.0
116,71,1.22528,1.04753682,5938.4972,23.89,3.624960475224432e-11,3.175156480255461,0.12153603896433625,28.925577273512026,2.8684511686115335,1.4774403308229034,0.0,8.27488758589207,0.0,
117,71,1.22528,1.04753682,5938.4972,23.89,2.473573758952498e-09,0.6441034060867549,2.9534128026295736,702.9122470258385,0.5818860202277565,2.475775194084457,,9.637651050206978,0.0,
118,72,1.87637,1.15470865,6292.1024,18.205,7.072729643209563e-11,5.095578499861159,0.07226557917606774,17.199207843904123,3.7199256192125287,3.3119227939148046,,4.857847220418083,0.0,
119,72,1.87637,1.15470865,6292.1024,18.205,9.420256782209952e-10,1.2940242195761433,1.1205562724289058,266.69239283807957,0.9446766145225617,3.069495170616399,,6.060032361034107,0.0,
123,75,0.619009,0.89616522,5412.9319,18.36,2.0805584080603593e-09,0.5479029955085184,2.062004523990064,490.75707670963527,0.6963942765216206,1.9314648543436208,0.0,6.284017830993451,0.0,
124,76,0.462853,0.83855211,5203.5306,14.673,8.390981537329693e-10,3.5849853929707933,0.036013746397871804,8.571271642693489,5.2694568067205125,8.025774481223175,,0.9614409304828838,0.0,
125,76,0.462853,0.83855211,5203.5306,14.673,1.3038109386346932e-09,3.8709924942939358,0.030888614209055136,7.351490181755122,5.689849612167548,10.802463768690362,,0.8738776500831549,0.0,
126,77,1.3269,1.06678748,6003.0638,18.951,2.7141098673953492e-11,2.1433767311370198,0.2888292488788397,68.74136123316384,1.860713097315645,0.8629892831723255,0.0,4.552027942849868,0.0,
